NAME,ADDRESS,REVIEW_COUNT,CATEGORY,RATING,LATITUDE,LONGITUDE,PRICE,DISPLAY_PHONE,ZIP_CODE,URL,IMAGE_URL
Wow Tikka,"84 Peterborough St, Boston, MA 02215",89,indpak Indian,4.7,42.3431544,-71.0988257,,(857) 250-2062,2215,https://www.yelp.com/biz/wow-tikka-boston-2?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media1.fl.yelpcdn.com/bphoto/ASKHAgZcX6btQee9Su_rbw/o.jpg
Momo Masala,"2 Perkins Street, Boston, MA 02130",18,indpak Indian himalayan HimalayanNepalese,4.8,42.321775,-71.110396,$$,(617) 702-1033,2130,https://www.yelp.com/biz/momo-masala-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/sEPT29reuzv2wsZQdpvjyA/o.jpg
Masala Square Indian Kitchen,"23 Union Sq, Somerville, MA 02143",134,indpak Indian halal Halal cocktailbars Cocktail Bars,4.2,42.379838,-71.096815,$$,(617) 666-9770,2143,https://www.yelp.com/biz/masala-square-indian-kitchen-somerville-2?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/8W1NK8_ZfxPbZuDidt_PUQ/o.jpg
India Quality Restaurant,"484 Commonwealth Ave, Boston, MA 02215",897,indpak Indian,3.8,42.348564974,-71.094380837,$$,(617) 267-4499,2215,https://www.yelp.com/biz/india-quality-restaurant-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/juWQQVs94gAycob-za2Slw/o.jpg
Kantipur Cafe,"119 Hampshire St, Cambridge, MA 02139",162,indpak Indian himalayan HimalayanNepalese tradamerican American,4.6,42.369968,-71.096042,,(617) 714-3904,2139,https://www.yelp.com/biz/kantipur-cafe-cambridge-2?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media4.fl.yelpcdn.com/bphoto/H770Touelc49b5vqXl4vlA/o.jpg
Himalayan Kitchen,"40 Bow St, Somerville, MA 02143",358,indpak Indian himalayan HimalayanNepalese,4.7,42.381512,-71.097823,$$,(617) 623-9068,2143,https://www.yelp.com/biz/himalayan-kitchen-somerville-7?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/hWhS5X7APosqlH-8AXTFIg/o.jpg
Shanti Indian Cuisine,"1111 Dorchester Ave, Boston, MA 02125",482,indpak Indian bangladeshi Bangladeshi asianfusion Asian Fusion,4.1,42.312648788,-71.057436332,$$,(617) 929-3900,2125,https://www.yelp.com/biz/shanti-indian-cuisine-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/VaE5q09a4pouleN3XmSdWQ/o.jpg
Singh's Dhaba,"1001 Massachusetts Ave, Cambridge, MA 02138",61,indpak Indian,4.5,42.36959,-71.11131,,(617) 945-1525,2138,https://www.yelp.com/biz/singhs-dhaba-cambridge?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/u3Vp0Q-nO8k1wkFUR5B09w/o.jpg
The Maharaja,"57 Jfk St, Fl 2, Cambridge, MA 02138",669,indpak Indian,3.8,42.372144,-71.120865,$$,(617) 547-2757,2138,https://www.yelp.com/biz/the-maharaja-cambridge?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media4.fl.yelpcdn.com/bphoto/FdQv6mXCkNMqNnuL7_ikDA/o.jpg
Madras Dosa,"55 Boston Wharf Rd, Boston, MA 02210",128,indpak Indian,3.9,42.35117,-71.04535,$$,(857) 233-5188,2210,https://www.yelp.com/biz/madras-dosa-boston-3?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/7zmkZvMbWKn-GNVd1h-Ctw/o.jpg
Shan-A-Punjab,"500 Harvard St, Brookline, MA 02446",506,seafood Seafood indpak Indian buffets Buffets,3.8,42.3480295,-71.129513896,$$,(617) 734-9000,2446,https://www.yelp.com/biz/shan-a-punjab-brookline?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media4.fl.yelpcdn.com/bphoto/gZl9etdOOMDhvhl6teY2ew/o.jpg
Punjab Palace,"109 Brighton Ave, Allston, MA 02134",904,indpak Indian,4.0,42.352732,-71.130435,$$,(617) 254-1500,2134,https://www.yelp.com/biz/punjab-palace-allston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/Q03tiuW6y3Wj3OEnsQQs6g/o.jpg
Zomsa,"434 Massachusetts Ave, Arlington, MA 02474",23,himalayan HimalayanNepalese,4.8,42.414323276,-71.151128833,,(781) 230-8456,2474,https://www.yelp.com/biz/zomsa-arlington?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/9VlVXt6PWEplSu6IBHD4zA/o.jpg
Indian Kitchen,"450 Cambridge St, Allston, MA 02134",64,indpak Indian,4.2,42.353889,-71.135655,,(617) 254-1019,2134,https://www.yelp.com/biz/indian-kitchen-allston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/2WG0XRgXCypawEGxeKMaGg/o.jpg
Punjabi Dhaba,"225 Hampshire St, Cambridge, MA 02139",1018,indpak Indian,3.8,42.37388,-71.1008,$$,(617) 547-8272,2139,https://www.yelp.com/biz/punjabi-dhaba-cambridge?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/xtgaZnUg9Gy7LNGnbPVKYA/o.jpg
Sarva Indian Cuisine,"279 Newbury St, Boston, MA 02116",10,indpak Indian cafes Cafes,4.6,42.349412945,-71.08405906,,(617) 418-4995,2116,https://www.yelp.com/biz/sarva-indian-cuisine-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/sXxXLvoki27ffdhEHjI3lA/o.jpg
Surya Veg N Dosa,"114 Magazine St, Cambridge, MA 02139",185,indpak Indian fooddeliveryservices Food Delivery Services vegetarian Vegetarian,4.1,42.3598651,-71.1099575,$$,(617) 945-5489,2139,https://www.yelp.com/biz/surya-veg-n-dosa-cambridge?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media4.fl.yelpcdn.com/bphoto/yzAda5P153YRrRXEZnpHMA/o.jpg
Depth N Green,"7 Broad Canal Way, Cambridge, MA 02142",10,indpak Indian cafes Cafes coffee Coffee Tea,4.1,42.363453587,-71.0829255,,(617) 251-4884,2142,https://www.yelp.com/biz/depth-n-green-cambridge?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media4.fl.yelpcdn.com/bphoto/fZIZ-CsO6vfl_GPpLv3mFQ/o.jpg
Mela,"578 Tremont St, Boston, MA 02118",716,indpak Indian,3.7,42.3432699,-71.0725,$$,(617) 859-4805,2118,https://www.yelp.com/biz/mela-boston-2?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/iHzNVyy4JciVzx8wv6kviw/o.jpg
Madras Dosa - Cambridge,"22 Eliot St, Cambridge, MA 02138",37,indpak Indian sandwiches Sandwiches,4.4,42.37182,-71.12139,,(617) 714-5261,2138,https://www.yelp.com/biz/madras-dosa-cambridge-cambridge?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media1.fl.yelpcdn.com/bphoto/qBoXEnzOyMUNXv6HQQVksQ/o.jpg
Mirchi Nation-Indian Kitchen,"477 Harvard St, Brookline, MA 02446",20,indpak Indian,4.2,42.347181,-71.128386,,(617) 383-5934,2446,https://www.yelp.com/biz/mirchi-nation-indian-kitchen-brookline?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/-P0IVRkh2_EHqvAi70tF-g/o.jpg
Mumbai Spice,"251 Massachusetts Ave, Boston, MA 02115",254,halal Halal indpak Indian chinese Chinese,3.2,42.343839327,-71.086348755,$$,(857) 350-4305,2115,https://www.yelp.com/biz/mumbai-spice-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/-NXZalxa1lt2SR7OB9bWPw/o.jpg
Sarma,"249 Pearl St, Somerville, MA 02145",1253,mideastern Middle Eastern tapasmallplates TapasSmall Plates mediterranean Mediterranean,4.4,42.3881803,-71.0955453,$$$,(617) 764-4464,2145,https://www.yelp.com/biz/sarma-somerville?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/ePn6eZTdFMRjlbbORF2dwA/o.jpg
D'Guru Restaurant,"92 Bedford St, Boston, MA 02110",151,indpak Indian halal Halal,3.7,42.353160702,-71.059668336,$,(617) 319-4392,2110,https://www.yelp.com/biz/d-guru-restaurant-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media1.fl.yelpcdn.com/bphoto/90eC2TwIRkLY_mFz0LeA7g/o.jpg
Vaanga,"102 Water St, Boston, MA 02109",113,indpak Indian,3.1,42.35807,-71.05508,,(617) 624-0300,2109,https://www.yelp.com/biz/vaanga-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/yMxiZIWugV6JpSc0oZqIYA/o.jpg
Indian Street Cravings,"Boston, MA 02108",3,indpak Indian foodtrucks Food Trucks,3.3,42.357671984,-71.065035089,,(978) 707-4447,2108,https://www.yelp.com/biz/indian-street-cravings-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/dJ3n_aR6qeJ0eKrOwZQTPw/o.jpg
Grand India,"1671 Beacon St, Brookline, MA 02445",19,indpak Indian coffee Coffee Tea seafood Seafood,4.7,42.338485804,-71.137496312,,(617) 879-0544,2445,https://www.yelp.com/biz/grand-india-brookline?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/MedDyTcBsk_5iJRpZ4q7Bg/o.jpg
Nirvana The Taste of India,"1680 Mass Ave, Cambridge, MA 02138",298,indpak Indian cocktailbars Cocktail Bars,4.0,42.382457,-71.119966,$$,(617) 441-5566,2138,https://www.yelp.com/biz/nirvana-the-taste-of-india-cambridge?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media4.fl.yelpcdn.com/bphoto/B8ptFYxJyd5ubpRaUO7bLw/o.jpg
Tanjore,"878 Massachusetts Ave, Cambridge, MA 02139",15,indpak Indian newamerican New American sportsbars Sports Bars,3.9,42.36769658,-71.1078825,,(617) 868-1900,2139,https://www.yelp.com/biz/tanjore-cambridge-4?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media1.fl.yelpcdn.com/bphoto/BOYN8s5C6_7Spru3g1OObA/o.jpg
Tiranga Indian Street Food,"17 Beale St, Quincy, MA 02170",26,indpak Indian vegetarian Vegetarian vegan Vegan,3.8,42.267478277,-71.016880964,,(781) 927-4216,2170,https://www.yelp.com/biz/tiranga-indian-street-food-quincy-2?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media4.fl.yelpcdn.com/bphoto/asz-RsFGJjAnn08sbYRudQ/o.jpg
Bati by Shanti,"80 Causeway St, Boston, MA 02114",3,indpak Indian,4.0,42.36463,-71.062433,,,2114,https://www.yelp.com/biz/bati-by-shanti-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/97zpzbOGq6-pIlFq3qGsvA/o.jpg
Zuzu Momo,"291 Main St, Everett, MA 02149",181,indpak Indian himalayan HimalayanNepalese bars Bars,4.2,42.410743,-71.062405,$$,(617) 917-8140,2149,https://www.yelp.com/biz/zuzu-momo-everett?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/YJpn1BhvthdN9m4Kx5pHZg/o.jpg
Tikki Masala,"3706 Washington St, Jamaica Plain, MA 02130",215,indpak Indian,3.9,42.300394,-71.113018,$$,(617) 942-2966,2130,https://www.yelp.com/biz/tikki-masala-jamaica-plain?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/ceBHhDVrEkfZnMDgHTH_tg/o.jpg
Himalayan Bistro,"1735 Centre St, West Roxbury, MA 02132",343,himalayan HimalayanNepalese indpak Indian,3.8,42.287444098,-71.149749271,$$,(617) 325-3500,2132,https://www.yelp.com/biz/himalayan-bistro-west-roxbury-5?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/Ku7Ahy2Ww4f9muHUk6Pg0g/o.jpg
Singh's Roti Shop,"554 Columbia Rd, Dorchester, MA 02125",298,trinidadian Trinidadian,3.9,42.31630604,-71.0662012,$,(617) 282-7977,2125,https://www.yelp.com/biz/singhs-roti-shop-dorchester?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/h14tL44kd29RUkrPDaDy6A/o.jpg
Zam Zam,"42 Riverside Ave, Medford, MA 02155",141,indpak Indian halal Halal pakistani Pakistani,4.1,42.417913824,-71.108367741,$$,(781) 391-1200,2155,https://www.yelp.com/biz/zam-zam-medford?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/lBRz8PZo2tSEL-Z8ieA6gw/o.jpg
Guru The Caterer,"1295 Broadway, Somerville, MA 02144",488,indpak Indian halal Halal,4.3,42.40574,-71.13081,$,(617) 718-0078,2144,https://www.yelp.com/biz/guru-the-caterer-somerville-2?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/S86qTBUT2EJGFN3pXq9GLw/o.jpg
