id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,business_hours,attributes
u51e3gychuqBYNqe2xG6_w,lolita-cocina-and-tequila-bar-boston-4,Lolita Cocina & Tequila Bar,https://s3-media2.fl.yelpcdn.com/bphoto/tNXiny9PvaOD3q2kPD6mFg/o.jpg,False,https://www.yelp.com/biz/lolita-cocina-and-tequila-bar-boston-4?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,2583,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 42.35069, 'longitude': -71.07736}",['delivery'],$$,"{'address1': '271 Dartmouth St', 'address2': None, 'address3': '', 'city': 'Boston', 'zip_code': '02116', 'country': 'US', 'state': 'MA', 'display_address': ['271 Dartmouth St', 'Boston, MA 02116']}",+16173690931,(617) 369-0931,587.0895266098273,"[{'open': [{'is_overnight': True, 'start': '1130', 'end': '0100', 'day': 0}, {'is_overnight': True, 'start': '1130', 'end': '0100', 'day': 1}, {'is_overnight': True, 'start': '1130', 'end': '0100', 'day': 2}, {'is_overnight': True, 'start': '1130', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '1130', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 5}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://www.lolitamexican.com/menus/', 'open24_hours': None, 'waitlist_reservation': None}"
jIxhHWqxKd5ZWBIEmsFxWQ,citrus-and-salt-boston,Citrus & Salt,https://s3-media2.fl.yelpcdn.com/bphoto/EIvNoAmkpKyPviIpflYSAg/o.jpg,False,https://www.yelp.com/biz/citrus-and-salt-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,979,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'mexican', 'title': 'Mexican'}]",3.9,"{'latitude': 42.3488895, 'longitude': -71.0488567}","['pickup', 'delivery']",$$,"{'address1': '319 A St', 'address2': '', 'address3': None, 'city': 'Boston', 'zip_code': '02210', 'country': 'US', 'state': 'MA', 'display_address': ['319 A St', 'Boston, MA 02210']}",+16174246711,(617) 424-6711,1843.4137808082844,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1030', 'end': '1545', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1030', 'end': '1545', 'day': 6}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': 'https://www.citrusandsaltboston.com/menus/', 'open24_hours': None, 'waitlist_reservation': None}"
4lMpwHFzxmirHqLSsj8BjQ,cósmica-boston-3,Cósmica,https://s3-media2.fl.yelpcdn.com/bphoto/H8UeMHaaomGilO2nzpxJ1w/o.jpg,False,https://www.yelp.com/biz/c%C3%B3smica-boston-3?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,161,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.8,"{'latitude': 42.34594, 'longitude': -71.07087}","['pickup', 'delivery']",$$,"{'address1': '40 Berkeley St', 'address2': None, 'address3': '', 'city': 'Boston', 'zip_code': '02116', 'country': 'US', 'state': 'MA', 'display_address': ['40 Berkeley St', 'Boston, MA 02116']}",+16173137878,(617) 313-7878,216.71351188254357,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 3}, {'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 5}, {'is_overnight': False, 'start': '1030', 'end': '1500', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': 'https://www.cosmicaboston.com/menu', 'open24_hours': None, 'waitlist_reservation': None}"
MUup2lqjjX8JYvYjFCAAeA,bartaco-seaport-boston-2,bartaco Seaport,https://s3-media3.fl.yelpcdn.com/bphoto/aPgphfnQ4R__TbvXK8kmeA/o.jpg,False,https://www.yelp.com/biz/bartaco-seaport-boston-2?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,803,"[{'alias': 'tacos', 'title': 'Tacos'}]",4.0,"{'latitude': 42.350966887607285, 'longitude': -71.04755891814392}","['pickup', 'delivery']",$$,"{'address1': '25 Thomson Pl', 'address2': None, 'address3': '', 'city': 'Boston', 'zip_code': '02210', 'country': 'US', 'state': 'MA', 'display_address': ['25 Thomson Pl', 'Boston, MA 02210']}",+16178198226,(617) 819-8226,1977.1264288898888,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}"
Dnz4WY-jzNY0-xoq2KfF1A,mestizo-modern-mexican-cambridge,Mestizo Modern Mexican,https://s3-media4.fl.yelpcdn.com/bphoto/a2ejjD_9B_WLd56DydA4bg/o.jpg,False,https://www.yelp.com/biz/mestizo-modern-mexican-cambridge?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,10,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'newmexican', 'title': 'New Mexican Cuisine'}, {'alias': 'latin', 'title': 'Latin American'}]",4.0,"{'latitude': 42.36277, 'longitude': -71.08333}",[],,"{'address1': '10 Broad Canal Way', 'address2': '', 'address3': None, 'city': 'Cambridge', 'zip_code': '02142', 'country': 'US', 'state': 'MA', 'display_address': ['10 Broad Canal Way', 'Cambridge, MA 02142']}",+19178066393,(917) 806-6393,2132.8966167783215,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': True}"
hxooxdcoChKyuYjGwcs5mw,sabina-mezcaleria-boston,Sabina Mezcaleria,https://s3-media2.fl.yelpcdn.com/bphoto/6Yqd1mtSGDUj8nEJZ0oghw/o.jpg,False,https://www.yelp.com/biz/sabina-mezcaleria-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,22,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",4.1,"{'latitude': 42.349707729422406, 'longitude': -71.0829487}",[],,"{'address1': '253 Newbury St', 'address2': '', 'address3': None, 'city': 'Boston', 'zip_code': '02116', 'country': 'US', 'state': 'MA', 'display_address': ['253 Newbury St', 'Boston, MA 02116']}",+18574496023,(857) 449-6023,984.0678397944743,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 3}, {'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': 'https://sabinamezcaleria.com/menu/', 'open24_hours': None, 'waitlist_reservation': None}"
Zg90qJF9EvASbqEARi3bZA,marias-taqueria-boston,Maria's Taqueria,https://s3-media1.fl.yelpcdn.com/bphoto/jGBGK1Z5-5KZChXGxGYeww/o.jpg,False,https://www.yelp.com/biz/marias-taqueria-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,380,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.1,"{'latitude': 42.35139, 'longitude': -71.06457}","['pickup', 'delivery']",$,"{'address1': '226 Tremont St', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02116', 'country': 'US', 'state': 'MA', 'display_address': ['226 Tremont St', 'Boston, MA 02116']}",+16173577399,(617) 357-7399,675.2486078751252,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1200', 'end': '0100', 'day': 5}, {'is_overnight': True, 'start': '1200', 'end': '0100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://mariastaqueriaboston.com/menu.html', 'open24_hours': None, 'waitlist_reservation': None}"
bc3uy1_AcDrEDCjYhTtixQ,mamacita-mexican-comida-boston,Mamacita Mexican Comida,https://s3-media2.fl.yelpcdn.com/bphoto/x7PlD8GcpKj7qGjqq4bHNA/o.jpg,False,https://www.yelp.com/biz/mamacita-mexican-comida-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,42,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.4,"{'latitude': 42.34093, 'longitude': -71.08819}","['pickup', 'delivery']",,"{'address1': '329 Huntington Ave', 'address2': None, 'address3': '', 'city': 'Boston', 'zip_code': '02115', 'country': 'US', 'state': 'MA', 'display_address': ['329 Huntington Ave', 'Boston, MA 02115']}",+18572332508,(857) 233-2508,1592.618026528277,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}"
xVxjzyMqghCYwVe_dwJzJw,loco-taqueria-and-oyster-bar-boston,Loco Taqueria & Oyster Bar,https://s3-media4.fl.yelpcdn.com/bphoto/0bsxNQvegleRQkblARyBLA/o.jpg,False,https://www.yelp.com/biz/loco-taqueria-and-oyster-bar-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,802,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.0,"{'latitude': 42.3369670759542, 'longitude': -71.0477377406966}",['delivery'],$$,"{'address1': '412 W Broadway', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02127', 'country': 'US', 'state': 'MA', 'display_address': ['412 W Broadway', 'Boston, MA 02127']}",+16179175626,(617) 917-5626,2279.095993596969,"[{'open': [{'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 0}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 1}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 2}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1000', 'end': '0100', 'day': 5}, {'is_overnight': True, 'start': '1000', 'end': '0100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}"
qenuGP8CsQpFvQKIra4IJw,el-jefes-taqueria-boston,El Jefe's Taqueria,https://s3-media3.fl.yelpcdn.com/bphoto/8sFZE_pTwisXVnutxaO_gw/o.jpg,False,https://www.yelp.com/biz/el-jefes-taqueria-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,125,"[{'alias': 'tacos', 'title': 'Tacos'}]",4.0,"{'latitude': 42.35223, 'longitude': -71.06491}","['pickup', 'delivery']",,"{'address1': '80 Boylston St', 'address2': '', 'address3': None, 'city': 'Boston', 'zip_code': '02116', 'country': 'US', 'state': 'MA', 'display_address': ['80 Boylston St', 'Boston, MA 02116']}",+16179363610,(617) 936-3610,711.6573090267757,"[{'open': [{'is_overnight': True, 'start': '0800', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '0800', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '0800', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '0800', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '0800', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '0800', 'end': '0200', 'day': 5}, {'is_overnight': True, 'start': '0800', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}"
356f-TbYJYN-shut-F1r_w,chilacates-mexican-street-food-boston-3,Chilacates Mexican Street Food,https://s3-media3.fl.yelpcdn.com/bphoto/cDMoNiOJnG1Orkfbox7Jmg/o.jpg,False,https://www.yelp.com/biz/chilacates-mexican-street-food-boston-3?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,110,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'streetvendors', 'title': 'Street Vendors'}]",4.1,"{'latitude': 42.34305067227097, 'longitude': -71.0694272}","['pickup', 'delivery']",$$,"{'address1': '275 Shawmut Ave', 'address2': None, 'address3': '', 'city': 'Boston', 'zip_code': '02118', 'country': 'US', 'state': 'MA', 'display_address': ['275 Shawmut Ave', 'Boston, MA 02118']}",+18573503292,(857) 350-3292,553.2493632668975,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}"
r36vip-S5VSvZ1VPBH00JQ,lolita-cocina-and-tequila-bar-fort-point-boston-4,Lolita Cocina & Tequila Bar Fort Point,https://s3-media3.fl.yelpcdn.com/bphoto/YsW-GwAF283KeyzzLMkNmA/o.jpg,False,https://www.yelp.com/biz/lolita-cocina-and-tequila-bar-fort-point-boston-4?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,979,"[{'alias': 'mexican', 'title': 'Mexican'}]",3.7,"{'latitude': 42.3501, 'longitude': -71.051266}","['pickup', 'delivery']",$$,"{'address1': '253 Summer St', 'address2': '', 'address3': None, 'city': 'Boston', 'zip_code': '02210', 'country': 'US', 'state': 'MA', 'display_address': ['253 Summer St', 'Boston, MA 02210']}",+16173690931,(617) 369-0931,1667.0102516228267,"[{'open': [{'is_overnight': True, 'start': '1130', 'end': '0100', 'day': 0}, {'is_overnight': True, 'start': '1130', 'end': '0100', 'day': 1}, {'is_overnight': True, 'start': '1130', 'end': '0100', 'day': 2}, {'is_overnight': True, 'start': '1130', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '1130', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 5}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://www.lolitamexican.com/menu/fort-point/', 'open24_hours': None, 'waitlist_reservation': None}"
RhFZ1x65h_N7hcytq2o6DA,tulum-mexican-cuisine-somerville,Tulum Mexican Cuisine,https://s3-media2.fl.yelpcdn.com/bphoto/bl9V2AdtAPSe2a5BHlTbOQ/o.jpg,False,https://www.yelp.com/biz/tulum-mexican-cuisine-somerville?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,56,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 42.38232, 'longitude': -71.08122}","['pickup', 'delivery']",,"{'address1': '3 Washington St', 'address2': None, 'address3': '', 'city': 'Somerville', 'zip_code': '02143', 'country': 'US', 'state': 'MA', 'display_address': ['3 Washington St', 'Somerville, MA 02143']}",+16177641608,(617) 764-1608,3920.3452752776957,"[{'open': [{'is_overnight': False, 'start': '1600', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1300', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2130', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': 'https://tulumsomerville.com/menus', 'open24_hours': None, 'waitlist_reservation': True}"
Z3-r4EEXnL82TF27wdzSyw,yellow-door-taqueria-south-end-boston,Yellow Door Taqueria - South End,https://s3-media2.fl.yelpcdn.com/bphoto/4UjXr_omze4PkcB-YIqDQA/o.jpg,False,https://www.yelp.com/biz/yellow-door-taqueria-south-end-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,152,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}]",3.6,"{'latitude': 42.34491281124095, 'longitude': -71.06352141882115}",['delivery'],$$,"{'address1': '354 Harrison Ave', 'address2': '', 'address3': None, 'city': 'Boston', 'zip_code': '02118', 'country': 'US', 'state': 'MA', 'display_address': ['354 Harrison Ave', 'Boston, MA 02118']}",+18572399276,(857) 239-9276,713.2921706911503,"[{'open': [{'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': 'https://www.yellowdoortaqueria.com/southendjune', 'open24_hours': None, 'waitlist_reservation': None}"
Ar9KOSP_KilAxZREWthh9A,bartaco-boston,Bartaco,https://s3-media2.fl.yelpcdn.com/bphoto/30HVPkWeYx9goKwMiqpjZQ/o.jpg,False,https://www.yelp.com/biz/bartaco-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,19,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.9,"{'latitude': 42.34472590356805, 'longitude': -71.1000983}","['pickup', 'delivery']",,"{'address1': '100 Van Ness St', 'address2': 'Ste 106', 'address3': '', 'city': 'Boston', 'zip_code': '02215', 'country': 'US', 'state': 'MA', 'display_address': ['100 Van Ness St', 'Ste 106', 'Boston, MA 02215']}",+16179158226,(617) 915-8226,2396.5569495396117,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}"
J7yLxR5NqFA-6MbOKqIiHg,yellow-door-taqueria-boston-3,Yellow Door Taqueria,https://s3-media1.fl.yelpcdn.com/bphoto/FTt2r7-2gQxoF80InOIgog/o.jpg,False,https://www.yelp.com/biz/yellow-door-taqueria-boston-3?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,42,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.1,"{'latitude': 42.333849, 'longitude': -71.103372}","['pickup', 'delivery']",,"{'address1': '1619 Tremont St', 'address2': '', 'address3': None, 'city': 'Boston', 'zip_code': '02120', 'country': 'US', 'state': 'MA', 'display_address': ['1619 Tremont St', 'Boston, MA 02120']}",+16175056350,(617) 505-6350,3066.3115135656612,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}"
